index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3223,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Saved,0.06671293,95.3,42.4
3615,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Saved,0.11296728,107.5,28
3630,Lionel Andrés Messi Cuccittini,Barcelona,73,Shot,Open Play,Saved,0.48982948,114.8,43.6
3310,Lionel Andrés Messi Cuccittini,Barcelona,6,Shot,Open Play,Blocked,0.11282139,101.8,49.6
3487,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Saved,0.014362685,96,58.8
3501,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Off T,0.036889493,99.5,52.3
3502,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Blocked,0.0334027,100,51.2
3647,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Goal,0.04227377,107.7,26.4
3653,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Saved,0.11288858,104.8,45.2
3664,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Saved to Post,0.47433925,108.2,38.6
3717,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Blocked,0.014308791,90.5,30.8
3722,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Off T,0.2793649,112.4,49.8
3729,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Saved,0.04064873,100.3,50.6
3471,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Blocked,0.056511234,117.9,51.3
3484,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Blocked,0.025063477,100.8,55.2
2807,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Saved,0.05946376,117.8,50.3
2811,Lionel Andrés Messi Cuccittini,Barcelona,54,Shot,Open Play,Blocked,0.025284262,117.2,53.2
2814,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Blocked,0.026909407,94.9,45.2
3121,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Off T,0.04020661,101.9,53.5
3129,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Saved,0.07654668,109.8,52.1
3140,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Saved,0.1055994,109.7,51.5
3141,Lionel Andrés Messi Cuccittini,Barcelona,89,Shot,Open Play,Saved,0.0414381,97.7,39.1
3197,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Blocked,0.011188446,99,54.7
3611,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Saved,0.1353756,116.2,48.8
3617,Lionel Andrés Messi Cuccittini,Barcelona,53,Shot,Open Play,Off T,0.35744256,111.5,49.1
3625,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Saved,0.16020481,108,52.5
3802,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Blocked,0.015129926,94.4,51.3
3809,Lionel Andrés Messi Cuccittini,Barcelona,44,Shot,Open Play,Goal,0.06970506,103.5,47.9
3241,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Saved,0.22755432,112.2,47.9
3246,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Off T,0.07761014,99.1,46.2
3247,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Off T,0.13502753,104.9,28.5
3249,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Goal,0.16978526,115.1,50.2
3045,Lionel Andrés Messi Cuccittini,Barcelona,23,Shot,Open Play,Blocked,0.03104587,94.6,39.9
3068,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Saved,0.092058085,101.3,43.9
3069,Lionel Andrés Messi Cuccittini,Barcelona,85,Shot,Open Play,Saved,0.09372449,117.3,51
3070,Lionel Andrés Messi Cuccittini,Barcelona,85,Shot,Open Play,Off T,0.016425636,99.2,59.3
3423,Lionel Andrés Messi Cuccittini,Barcelona,9,Shot,Open Play,Blocked,0.12439785,100.7,38.8
3439,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Saved,0.07301699,104.5,41.7
3657,Lionel Andrés Messi Cuccittini,Barcelona,7,Shot,Open Play,Blocked,0.043873463,96.7,47.1
3674,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Saved,0.028251631,101,52.8
3133,Lionel Andrés Messi Cuccittini,Barcelona,6,Shot,Open Play,Off T,0.065749295,103.4,30.3
3135,Lionel Andrés Messi Cuccittini,Barcelona,9,Shot,Open Play,Off T,0.07386632,111.3,35.4
3142,Lionel Andrés Messi Cuccittini,Barcelona,40,Shot,Open Play,Off T,0.25877225,110.8,50.1
3148,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Blocked,0.03303554,92.9,44.1
3584,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Saved,0.15482177,113.7,28.6
3587,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Off T,0.22381414,110.9,49.3
3354,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Saved,0.016424602,106.9,59.8
3173,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Saved,0.029228492,106.8,28.9
3178,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Blocked,0.027193807,102.3,53.8
3201,Lionel Andrés Messi Cuccittini,Barcelona,85,Shot,Open Play,Wayward,0.13538806,119.1,34.8
3161,Lionel Andrés Messi Cuccittini,Barcelona,5,Shot,Open Play,Off T,0.026295278,101.9,51.3
3172,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Blocked,0.014649745,92.9,41.1
3175,Lionel Andrés Messi Cuccittini,Barcelona,73,Shot,Open Play,Goal,0.36802274,109.4,40.6
3177,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Saved,0.1008473,107,27.9
3741,Lionel Andrés Messi Cuccittini,Barcelona,27,Shot,Open Play,Blocked,0.029348591,95.2,33.4
3743,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Saved,0.14964816,113.6,47.7
3748,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Off T,0.17995584,115.4,47.5
3752,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Saved,0.12981264,104.4,31.7
3793,Lionel Andrés Messi Cuccittini,Barcelona,28,Shot,Open Play,Off T,0.08709512,105.3,29.4
3796,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Blocked,0.040846072,94.4,28.3
3839,Lionel Andrés Messi Cuccittini,Barcelona,8,Shot,Open Play,Blocked,0.026487216,92.4,43.7
3339,Lionel Andrés Messi Cuccittini,Barcelona,3,Shot,Open Play,Off T,0.14407614,100.2,39.5
3340,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Goal,0.14853248,101.1,43.3
3343,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Goal,0.24765548,108.5,47.2
3355,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Off T,0.1673631,116.5,48.6
