index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3250,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Saved,0.5316,106.6,41.8
3261,Lionel Andrés Messi Cuccittini,Barcelona,66,Shot,Open Play,Blocked,0.017523779,94.6,42.5
3936,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Saved,0.041073926,99.1,34.2
3939,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Blocked,0.017831527,103.2,61.1
3940,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Blocked,0.026645409,109.6,27
3947,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Off T,0.0899413,107.9,48.4
3950,Lionel Andrés Messi Cuccittini,Barcelona,66,Shot,Open Play,Saved,0.40618512,109.3,40.6
3953,Lionel Andrés Messi Cuccittini,Barcelona,75,Shot,Open Play,Off T,0.15786351,105.2,46.5
3157,Lionel Andrés Messi Cuccittini,Barcelona,0,Shot,Open Play,Blocked,0.017669275,93.2,42.8
3159,Lionel Andrés Messi Cuccittini,Barcelona,8,Shot,Open Play,Off T,0.024710268,107.9,52
3161,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Saved,0.08905188,107.5,31
3165,Lionel Andrés Messi Cuccittini,Barcelona,26,Shot,Open Play,Goal,0.08905269,100.4,45.8
3169,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Blocked,0.043964203,100.5,41.2
3170,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Saved,0.26114383,109.4,33.3
3176,Lionel Andrés Messi Cuccittini,Barcelona,75,Shot,Open Play,Off T,0.022011919,98.9,49.6
3177,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Goal,0.08192726,110.1,42.2
3178,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Saved,0.038407,106.4,43.9
3453,Lionel Andrés Messi Cuccittini,Barcelona,3,Shot,Open Play,Off T,0.046753384,98.1,53.8
3455,Lionel Andrés Messi Cuccittini,Barcelona,6,Shot,Open Play,Goal,0.024074236,95.3,38.1
3458,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Saved,0.05652779,109.9,44.2
3459,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Saved,0.31515205,107.4,47.2
3466,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Blocked,0.015118568,99.6,55.7
3477,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Saved,0.015397391,98.3,57.2
3482,Lionel Andrés Messi Cuccittini,Barcelona,94,Shot,Open Play,Off T,0.067469776,100.1,52.2
3404,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Goal,0.2868633,113.3,42.8
3406,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Saved,0.021591749,97.7,59.8
3562,Lionel Andrés Messi Cuccittini,Barcelona,9,Shot,Open Play,Off T,0.15136178,117.6,33.4
3563,Lionel Andrés Messi Cuccittini,Barcelona,13,Shot,Open Play,Blocked,0.08921888,107.4,29.1
3564,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Blocked,0.054277614,102.1,45.9
3567,Lionel Andrés Messi Cuccittini,Barcelona,25,Shot,Open Play,Wayward,0.17387073,114.2,36.8
3569,Lionel Andrés Messi Cuccittini,Barcelona,29,Shot,Open Play,Off T,0.08757043,110.9,51.1
3574,Lionel Andrés Messi Cuccittini,Barcelona,45,Shot,Open Play,Saved,0.026246384,104.7,54.1
3583,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Blocked,0.17374387,114.5,38.9
3585,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Saved,0.06409742,98.1,46.2
3586,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Goal,0.8546455,113.4,39
3443,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Off T,0.015267494,98.8,54.4
3445,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Saved,0.46004546,105.5,45.7
3072,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Off T,0.42137733,115,38.3
3459,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Saved,0.039550923,105.6,27.3
3461,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Off T,0.3228061,102.9,43.4
3219,Lionel Andrés Messi Cuccittini,Barcelona,0,Shot,Open Play,Saved,0.1016244,103.1,44.1
3221,Lionel Andrés Messi Cuccittini,Barcelona,7,Shot,Open Play,Blocked,0.03178625,105.5,53.9
3229,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Blocked,0.0978262,103.1,47
3240,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Saved,0.38356036,109.7,50.9
3241,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Saved,0.15404719,107.1,57.7
3161,Lionel Andrés Messi Cuccittini,Barcelona,48,Shot,Open Play,Blocked,0.02679067,96.6,42.8
3168,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Post,0.05040534,103.6,32.2
3619,Lionel Andrés Messi Cuccittini,Barcelona,32,Shot,Open Play,Goal,0.19294357,110.6,37.2
3638,Lionel Andrés Messi Cuccittini,Barcelona,71,Shot,Open Play,Saved,0.15517649,103.3,30.6
3639,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Saved,0.28812444,107.1,38
3276,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Goal,0.11718979,111.2,40.9
3291,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Off T,0.094724014,115.8,31.1
3292,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Off T,0.014669546,93.9,30.3
3293,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Goal,0.16052514,107.5,28.4
3297,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Goal,0.101208426,101.2,50.3
3893,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Saved,0.48267642,109.4,37.5
3302,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Goal,0.33924317,112.9,40.6
3319,Lionel Andrés Messi Cuccittini,Barcelona,93,Shot,Open Play,Goal,0.039864447,103.9,50.2
3711,Lionel Andrés Messi Cuccittini,Barcelona,7,Shot,Open Play,Blocked,0.08144479,105.4,47.9
3713,Lionel Andrés Messi Cuccittini,Barcelona,11,Shot,Open Play,Off T,0.015693732,113.9,21.7
3716,Lionel Andrés Messi Cuccittini,Barcelona,23,Shot,Open Play,Goal,0.072191805,101.7,42.7
3728,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Goal,0.10172209,101.6,41.6
3641,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Saved,0.036208063,102,55.1
3655,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Goal,0.12373185,110.8,44.5
3659,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Off T,0.046096243,105.4,26.5
3582,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Saved,0.029110117,101.4,56.9
3590,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Off T,0.06438738,99,35.2
3598,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Saved,0.03789924,102.8,50.4
3257,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Goal,0.05989894,103,34.2
3262,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Off T,0.49013874,113.8,40.9
3266,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Off T,0.03952605,102.9,30.8
3267,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Saved,0.33252463,109.6,37.3
3270,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Blocked,0.02521601,100.8,49.6
3276,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Off T,0.012972572,101.9,56.8
3574,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Blocked,0.04425411,99,43.8
3577,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Saved,0.030025033,98.3,52.1
3580,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Off T,0.028121613,93.1,45
3585,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Saved,0.123759925,107.2,51.6
3588,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Off T,0.024385296,105.1,56.9
3590,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Saved,0.2051494,106,47.6
3594,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Goal,0.23208833,111.7,40
3598,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Goal,0.4793871,105,36.5
3966,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Off T,0.04681368,95.1,32.2
3971,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Wayward,0.08049866,116.2,28.9
3979,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Saved Off Target,0.08786604,66.3,52
3980,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Off T,0.108669214,107.1,32
3810,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Goal,0.44210398,118.5,44.5
3811,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Off T,0.036939487,94.7,48.9
3830,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Goal,0.2549787,112.8,49.1
3197,Lionel Andrés Messi Cuccittini,Barcelona,11,Shot,Open Play,Off T,0.33817515,111.1,30
3204,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Goal,0.26341346,109.3,43.5
3207,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Goal,0.7404242,113.8,43.8
3213,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Blocked,0.05220885,108.7,29.6
3216,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Goal,0.04826592,100,31.1
3220,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Off T,0.45300642,114.7,37
3370,Lionel Andrés Messi Cuccittini,Barcelona,48,Shot,Open Play,Off T,0.029597044,101.8,46.8
3373,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Saved,0.05353995,94.6,31.5
3295,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Saved,0.034394067,97.1,48.4
3296,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Saved,0.044180445,115.6,28.1
3299,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Off T,0.46454063,107.6,44.2
3303,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Goal,0.5417765,112.8,37
3305,Lionel Andrés Messi Cuccittini,Barcelona,75,Shot,Open Play,Goal,0.31956953,105.1,35.9
3530,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Saved,0.2415723,106,52
3531,Lionel Andrés Messi Cuccittini,Barcelona,36,Shot,Open Play,Saved,0.059616167,119,49.7
3536,Lionel Andrés Messi Cuccittini,Barcelona,52,Shot,Open Play,Saved,0.31639346,107.7,41.2
3541,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Goal,0.26353288,111.3,49.4
3547,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Off T,0.061262462,96.5,42.3
3548,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Goal,0.077458926,103.6,51.8
3549,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Goal,0.18365762,113.5,50.2
3534,Lionel Andrés Messi Cuccittini,Barcelona,6,Shot,Open Play,Saved,0.046403132,97.9,43.2
3538,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Goal,0.05730407,112.5,28
3540,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Blocked,0.052364208,110.5,27.9
3548,Lionel Andrés Messi Cuccittini,Barcelona,71,Shot,Open Play,Off T,0.13248058,98.9,41.4
3551,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Goal,0.3550983,111.5,41.2
3284,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Post,0.038080636,110.5,25.3
3329,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Saved,0.03022353,94.4,36.8
4064,Lionel Andrés Messi Cuccittini,Barcelona,3,Shot,Open Play,Saved,0.013917573,96.3,57.3
4065,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Off T,0.40725005,112.1,49.3
4068,Lionel Andrés Messi Cuccittini,Barcelona,11,Shot,Open Play,Saved,0.15139085,111.8,33.4
4075,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Blocked,0.053031486,100.3,44.7
4076,Lionel Andrés Messi Cuccittini,Barcelona,53,Shot,Open Play,Saved,0.45450145,100.9,34.1
4081,Lionel Andrés Messi Cuccittini,Barcelona,68,Shot,Open Play,Saved,0.47651374,106.4,41.1
4084,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Goal,0.4446559,107.9,43.9
